"Year - 2001"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",2.90763814381298
"Canton Capellen",1.92553692856662
"Dippach",1.87454938716655
"Garnich",1.65016501650165
"Hobscheid",1.74537987679671
"Käerjeng",2.16585921915076
"Kehlen",1.49418926397344
"Koerich",1.36425648021828
"Kopstal",1.52329749103943
"Mamer",2.20281048233954
"Septfontaines",2.56410256410256
"Steinfort",2.08333333333333
"Canton Esch",3.44250622997508
"Bettembourg",2.32801464818206
"Differdange",4.50268817204301
"Dudelange",3.65999204349556
"Esch-sur-Alzette",4.94752623688156
"Frisange",1.50829562594268
"Kayl",3.12605042016807
"Leudelange",0.828402366863905
"Mondercange",1.59781761496493
"Pétange",3.0297565374211
"Reckange-sur-Mess",1.35135135135135
"Roeser",1.72744721689059
"Rumelange",3.60415394013439
"Sanem",2.45031834844685
"Schifflange",3.57142857142857
"Canton Luxembourg",2.86663662987159
"Bertrange",1.73107890499195
"Contern",1.0221465076661
"Hesperange",2.33796296296296
"Luxembourg",3.32354395045215
"Niederanven",1.76848874598071
"Sandweiler",1.14537444933921
"Schuttrange",1.90114068441065
"Steinsel",2.26415094339623
"Strassen",3.2672737011248
"Walferdange",1.99430199430199
"Weiler-la-Tour",1.54905335628227
"Canton Mersch",2.03415851084245
"Bissen",2.24820143884892
"Boevange-sur-Attert",2.14477211796247
"Colmar-Berg",2.44755244755245
"Fischbach",3.03030303030303
"Heffingen",2.3121387283237
"Larochette",2.41657077100115
"Lintgen",0.900900900900901
"Lorentzweiler",1.37221269296741
"Mersch",2.1250758955677
"Nommern",2.08768267223382
"Tuntange",2.85035629453682
"Canton Clervaux",3.10454460445109
"Clervaux",3.48360655737705
"Parc Hosingen",2.63991552270327
"Troisvierges",3.27237728585178
"Weiswampach",2.29166666666667
"Wincrange",3.1757233592096
"Canton Diekirch",2.86451383328885
"Bettendorf",2.96010296010296
"Bourscheid",2.44897959183673
"Diekirch",2.98507462686567
"Erpeldange-sur-Sûre",0.832466181061394
"Ettelbruck",3.2161106101593
"Feulen",2.61941448382126
"Mertzig",1.97693574958814
"Reisdorf",3.75
"Schieren",3.07692307692308
"Vallée de l'Ernz",3.98457583547558
"Canton Redange",2.63435194942044
"Beckerich",1.34310134310134
"Ell",1.17647058823529
"Grosbous",0.72463768115942
"Préizerdaul",1.03448275862069
"Rambrouch",1.78970917225951
"Redange-sur-Attert",8.70511425462459
"Saeul",1.51515151515152
"Useldange",0.889679715302491
"Vichten",2.50696378830084
"Wahl",2
"Canton Vianden",4.30652311589614
"Putscheid",2.53164556962025
"Tandel",3.14465408805031
"Vianden",6.37958532695375
"Canton Wiltz",4.15125359638307
"Boulaide",2.56410256410256
"Esch-sur-Sûre",3.10391363022942
"Goesdorf",1.64705882352941
"Kiischpelt",4.14364640883978
"Lac de la Haute-Sûre",2.98245614035088
"Wiltz",5.72501173158142
"Winseler",3.07692307692308
"Canton Echternach",3.90202702702703
"Beaufort",5.08720930232558
"Bech",1.75
"Berdorf",5.33333333333333
"Consdorf",2.67737617135208
"Echternach",5
"Mompach",2.38805970149254
"Rosport",3.21637426900585
"Waldbillig",1.68067226890756
"Canton Grevenmacher",1.59844475645318
"Betzdorf",1.13636363636364
"Biwer",1.13085621970921
"Flaxweiler",0.634920634920635
"Grevenmacher",2.35168359166221
"Junglinster",1.27226463104326
"Manternach",2.04678362573099
"Mertert",2.15128383067314
"Wormeldange",1.35922330097087
"Canton Remich",2.14661214953271
"Bous",1.09170305676856
"Dalheim",2.23152022315202
"Lenningen",1.00401606425703
"Mondorf-les-Bains",2.46652572233968
"Remich",3.0564263322884
"Schengen",2.0979020979021
"Stadtbredimus",2.17785843920145
"Waldbredimus",0.561797752808989




