"Year - 2003"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",4.35868556351615
"Canton Capellen",2.98507462686567
"Dippach",2.33676975945017
"Garnich",2.33333333333333
"Hobscheid",2.71790065604499
"Käerjeng",2.61224489795918
"Kehlen",2.45499181669394
"Koerich",3.5264483627204
"Kopstal",2.55972696245734
"Mamer",3.98028809704321
"Septfontaines",4.74683544303798
"Steinfort",3.44086021505376
"Canton Esch",4.94981556146521
"Bettembourg",3.73465656829459
"Differdange",5.90234080040272
"Dudelange",5.06329113924051
"Esch-sur-Alzette",6.93804403481823
"Frisange",3.65329512893983
"Kayl",4.60547504025765
"Leudelange",1.8957345971564
"Mondercange",2.42376856919468
"Pétange",4.79711141678129
"Reckange-sur-Mess",1.89155107187894
"Roeser",2.84273269142595
"Rumelange",5.11904761904762
"Sanem",3.77769705775518
"Schifflange",4.61538461538462
"Canton Luxembourg",4.98651549342286
"Bertrange",3.2064128256513
"Contern",2.90697674418605
"Hesperange",3.99734982332155
"Luxembourg",5.78207131694843
"Niederanven",2.54777070063694
"Sandweiler",3.69761709120789
"Schuttrange",1.50234741784038
"Steinsel",3.77358490566038
"Strassen",5.54061323292093
"Walferdange",3.26909841706814
"Weiler-la-Tour",3.54609929078014
"Canton Mersch",3.13699784624028
"Bissen",3.52504638218924
"Boevange-sur-Attert",2.34986945169713
"Colmar-Berg",3.77358490566038
"Fischbach",3.37837837837838
"Heffingen",2.14477211796247
"Larochette",4.03690888119954
"Lintgen",2.79589934762349
"Lorentzweiler",2.33722871452421
"Mersch",3.32936979785969
"Nommern",2.7027027027027
"Tuntange",3.25581395348837
"Canton Clervaux",4.45726271630834
"Clervaux",4.875
"Parc Hosingen",3.91969407265774
"Troisvierges",5.44280442804428
"Weiswampach",3.47490347490348
"Wincrange",4.00543109300747
"Canton Diekirch",3.53430353430353
"Bettendorf",5.03875968992248
"Bourscheid",2.84552845528455
"Diekirch",4.17391304347826
"Erpeldange-sur-Sûre",2.13849287169043
"Ettelbruck",3.725782414307
"Feulen",3.47003154574132
"Mertzig",1.97268588770865
"Reisdorf",3.5230352303523
"Schieren",3.33889816360601
"Vallée de l'Ernz",2.60869565217391
"Canton Redange",2.75543385247304
"Beckerich",2.20858895705521
"Ell",1.44508670520231
"Grosbous",1.38888888888889
"Préizerdaul",1.6366612111293
"Rambrouch",4.65772759350741
"Redange-sur-Attert",2.53456221198157
"Saeul",3.84615384615385
"Useldange",2.92598967297762
"Vichten",1.56657963446475
"Wahl",1.53374233128834
"Canton Vianden",5.33099004100762
"Putscheid",4.22960725075529
"Tandel",4.72103004291846
"Vianden",6.49926144756278
"Canton Wiltz",5.21653543307087
"Boulaide",3.28358208955224
"Esch-sur-Sûre",4.06290956749672
"Goesdorf",1.52838427947598
"Kiischpelt",3.78378378378378
"Lac de la Haute-Sûre",2.67558528428094
"Wiltz",7.47706422018349
"Winseler",6.11702127659574
"Canton Echternach",4.33507170795306
"Beaufort",5.17464424320828
"Bech",1.02827763496144
"Berdorf",4.7808764940239
"Consdorf",4.16666666666667
"Echternach",5.33208606173994
"Mompach",4.29799426934097
"Rosport",2.41820768136558
"Waldbillig",3.89105058365759
"Canton Grevenmacher",2.7074506561951
"Betzdorf",2.25933202357564
"Biwer",2.32919254658385
"Flaxweiler",1.68302945301543
"Grevenmacher",2.75689223057644
"Junglinster",2.01850294365013
"Manternach",3.44827586206897
"Mertert",4.79041916167665
"Wormeldange",2.28789323164919
"Canton Remich",3.519265544582
"Bous",2.51046025104603
"Dalheim",2.98507462686567
"Lenningen",2.97397769516729
"Mondorf-les-Bains",4.36766623207301
"Remich",4.88354620586026
"Schengen",2.83950617283951
"Stadtbredimus",2.77777777777778
"Waldbredimus",2.4




