"Year - 2002"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",3.58783114468394
"Canton Capellen",2.48798788915948
"Dippach",1.56695156695157
"Garnich",1.35363790186125
"Hobscheid",2.75590551181102
"Käerjeng",2.38683127572016
"Kehlen",2.37175951461666
"Koerich",2.63504611330698
"Kopstal",2.21238938053097
"Mamer",3.26530612244898
"Septfontaines",2.85714285714286
"Steinfort",2.63013698630137
"Canton Esch",4.10333286849812
"Bettembourg",2.97494780793319
"Differdange",5.16364584691616
"Dudelange",3.91641477198055
"Esch-sur-Alzette",5.96145610278373
"Frisange",2.56410256410256
"Kayl",3.31256149557232
"Leudelange",1.18203309692671
"Mondercange",2.55603617774282
"Pétange",4.14617006324666
"Reckange-sur-Mess",1.31233595800525
"Roeser",2.06961429915334
"Rumelange",4.86322188449848
"Sanem",2.72474513438369
"Schifflange",3.86075949367089
"Canton Luxembourg",3.91165315683796
"Bertrange",2.35868239121594
"Contern",1.71086398631309
"Hesperange",3.2287403365166
"Luxembourg",4.49686799609218
"Niederanven",2.27032734952482
"Sandweiler",2.088772845953
"Schuttrange",1.79584120982987
"Steinsel",2.97092288242731
"Strassen",4.46716899892357
"Walferdange",2.84910306014773
"Weiler-la-Tour",3.81944444444444
"Canton Mersch",2.67814895429166
"Bissen",2.59981429897864
"Boevange-sur-Attert",2.7027027027027
"Colmar-Berg",2.71493212669683
"Fischbach",7.19424460431655
"Heffingen",1.40845070422535
"Larochette",3.60766629086809
"Lintgen",1.81818181818182
"Lorentzweiler",2.44313395113732
"Mersch",2.734375
"Nommern",3.30578512396694
"Tuntange",2.04081632653061
"Canton Clervaux",3.40086830680174
"Clervaux",3.9241334205363
"Parc Hosingen",3.07845084409136
"Troisvierges",3.57478833490122
"Weiswampach",2.63157894736842
"Wincrange",3.20557491289199
"Canton Diekirch",3.12226692321147
"Bettendorf",3.74193548387097
"Bourscheid",3.13111545988258
"Diekirch",3.07529162248144
"Erpeldange-sur-Sûre",1.44628099173554
"Ettelbruck",3.19469559975889
"Feulen",3.09597523219814
"Mertzig",3.53846153846154
"Reisdorf",3.46820809248555
"Schieren",4.18760469011725
"Vallée de l'Ernz",3.14861460957179
"Canton Redange",2.10526315789474
"Beckerich",1.49439601494396
"Ell",1.69491525423729
"Grosbous",0.72463768115942
"Préizerdaul",1.51515151515152
"Rambrouch",3.023598820059
"Redange-sur-Attert",1.8757327080891
"Saeul",4.30622009569378
"Useldange",1.74825174825175
"Vichten",1.64383561643836
"Wahl",2.83018867924528
"Canton Vianden",5.08266993263931
"Putscheid",4.71698113207547
"Tandel",2.62751159196291
"Vianden",7.63473053892216
"Canton Wiltz",4.45336008024072
"Boulaide",2.98507462686567
"Esch-sur-Sûre",3.27225130890052
"Goesdorf",2.81995661605206
"Kiischpelt",2.78551532033426
"Lac de la Haute-Sûre",3.05084745762712
"Wiltz",6.26753975678204
"Winseler",3.55029585798817
"Canton Echternach",4.19557317476049
"Beaufort",3.50404312668464
"Bech",1.23456790123457
"Berdorf",5.36480686695279
"Consdorf",3.46205059920106
"Echternach",5.84958217270195
"Mompach",3.44827586206897
"Rosport",2.5974025974026
"Waldbillig",3.23232323232323
"Canton Grevenmacher",2.36811502272968
"Betzdorf",1.67652859960552
"Biwer",1.48026315789474
"Flaxweiler",1.49253731343284
"Grevenmacher",3.18111852231914
"Junglinster",2.14917825537295
"Manternach",3.07262569832402
"Mertert",2.96551724137931
"Wormeldange",2.02507232401157
"Canton Remich",2.91454442558008
"Bous",2.52100840336134
"Dalheim",2.33516483516484
"Lenningen",2.70793036750484
"Mondorf-les-Bains",3.86631716906946
"Remich",3.31534309946029
"Schengen",2.27416298168035
"Stadtbredimus",2.75387263339071
"Waldbredimus",2.5




